mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.537538448879371,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
max_f1,discrimination,0.5972761548044618,0,18,17,13,4,5,0.7647058823529411,0.7222222222222222,0.7428571428571428
max_f1,contextual_hate,0.5499557716803695,0,17,18,15,3,2,0.8333333333333334,0.8823529411764706,0.8571428571428571
max_f1,threat,0.15670127314904275,1,1,28,1,27,0,0.03571428571428571,1.0,0.0689655172413793
max_f1,violence,0.363541543652991,0,46,36,36,0,10,1.0,0.782608695652174,0.878048780487805
max_f1,fear,0.4491278674521774,0,18,15,10,5,8,0.6666666666666666,0.5555555555555556,0.606060606060606
max_f1,sexual,0.24000000000000002,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.2,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.21000000000000002,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.537538448879371,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
top_k_by_prevalence,discrimination,0.5928830213104078,0,18,18,13,5,5,0.7222222222222222,0.7222222222222222,0.7222222222222222
top_k_by_prevalence,contextual_hate,0.5628719412123835,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
top_k_by_prevalence,threat,0.23554355922135548,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.33554564374851314,0,46,46,38,8,8,0.8260869565217391,0.8260869565217391,0.8260869565217391
top_k_by_prevalence,fear,0.4455360959167461,0,18,18,10,8,8,0.5555555555555556,0.5555555555555556,0.5555555555555556
top_k_by_prevalence,sexual,0.6105378047228049,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.49707142360413004,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.678513876430683,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.537538448879371,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
production,discrimination,0.6853378770958665,0,18,12,10,2,8,0.8333333333333334,0.5555555555555556,0.6666666666666667
production,contextual_hate,0.5628719412123835,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
