mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.6029321670764941,0,25,26,21,5,4,0.8076923076923077,0.84,0.8235294117647058
max_f1,discrimination,0.55,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
max_f1,contextual_hate,0.47000000000000003,0,17,25,17,8,0,0.68,1.0,0.8095238095238095
max_f1,threat,0.27,1,1,3,1,2,0,0.3333333333333333,1.0,0.5
max_f1,violence,0.36000000000000004,0,46,43,38,5,8,0.8837209302325582,0.8260869565217391,0.853932584269663
max_f1,fear,0.46682854101448246,0,18,22,15,7,3,0.6818181818181818,0.8333333333333334,0.7499999999999999
max_f1,sexual,0.32,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.32,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.24000000000000002,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.609949477028688,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
top_k_by_prevalence,discrimination,0.626665834911174,0,18,18,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
top_k_by_prevalence,contextual_hate,0.609601737833281,0,17,17,12,5,5,0.7058823529411765,0.7058823529411765,0.7058823529411765
top_k_by_prevalence,threat,0.3733494914444391,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.34934335838343267,0,46,46,38,8,8,0.8260869565217391,0.8260869565217391,0.8260869565217391
top_k_by_prevalence,fear,0.48267009633745916,0,18,18,11,7,7,0.6111111111111112,0.6111111111111112,0.6111111111111112
top_k_by_prevalence,sexual,0.6227427245736066,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.6894948137695628,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.721621265260239,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.609949477028688,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
production,discrimination,0.8230246448622225,0,18,10,8,2,10,0.8,0.4444444444444444,0.5714285714285714
production,contextual_hate,0.7015656106147445,0,17,13,11,2,6,0.8461538461538461,0.6470588235294118,0.7333333333333334
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.34934335838343267,0,46,46,38,8,8,0.8260869565217391,0.8260869565217391,0.8260869565217391
production,fear,0.75,0,18,2,2,0,16,1.0,0.1111111111111111,0.19999999999999998
production,sexual,0.75,0,5,3,3,0,2,1.0,0.6,0.7499999999999999
production,illegal,0.95,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,0,0,0,3,0.0,0.0,0.0
precision_60,hate_speech,0.47672028938946015,0,25,34,24,10,1,0.7058823529411765,0.96,0.8135593220338982
precision_60,discrimination,0.550620287412812,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
precision_60,contextual_hate,0.48675462357113775,0,17,25,17,8,0,0.68,1.0,0.8095238095238095
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.26436230432013424,0,46,67,42,25,4,0.6268656716417911,0.9130434782608695,0.7433628318584071
precision_60,fear,0.46682854101448246,0,18,22,15,7,3,0.6818181818181818,0.8333333333333334,0.7499999999999999
precision_60,sexual,0.6227427245736066,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.6894948137695628,1,1,1,1,0,0,1.0,1.0,1.0
precision_60,online_harm,0.721621265260239,1,3,3,3,0,0,1.0,1.0,1.0
precision_70,hate_speech,0.47672028938946015,0,25,34,24,10,1,0.7058823529411765,0.96,0.8135593220338982
precision_70,discrimination,0.550620287412812,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
precision_70,contextual_hate,0.5605268540933169,0,17,19,14,5,3,0.7368421052631579,0.8235294117647058,0.7777777777777778
precision_70,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,violence,0.29040975597184665,0,46,57,40,17,6,0.7017543859649122,0.8695652173913043,0.7766990291262136
precision_70,fear,0.525300880911793,0,18,11,8,3,10,0.7272727272727273,0.4444444444444444,0.5517241379310345
precision_70,sexual,0.6227427245736066,0,5,5,5,0,0,1.0,1.0,1.0
precision_70,illegal,0.6894948137695628,1,1,1,1,0,0,1.0,1.0,1.0
precision_70,online_harm,0.721621265260239,1,3,3,3,0,0,1.0,1.0,1.0
precision_80,hate_speech,0.6029321670764941,0,25,26,21,5,4,0.8076923076923077,0.84,0.8235294117647058
precision_80,discrimination,0.8230246448622225,0,18,10,8,2,10,0.8,0.4444444444444444,0.5714285714285714
precision_80,contextual_hate,0.7015656106147445,0,17,13,11,2,6,0.8461538461538461,0.6470588235294118,0.7333333333333334
precision_80,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,violence,0.3429308023909698,0,46,48,39,9,7,0.8125,0.8478260869565217,0.8297872340425533
precision_80,fear,0.5888033902063827,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_80,sexual,0.6227427245736066,0,5,5,5,0,0,1.0,1.0,1.0
precision_80,illegal,0.6894948137695628,1,1,1,1,0,0,1.0,1.0,1.0
precision_80,online_harm,0.721621265260239,1,3,3,3,0,0,1.0,1.0,1.0
precision_90,hate_speech,0.666349205379436,0,25,18,17,1,8,0.9444444444444444,0.68,0.7906976744186047
precision_90,discrimination,0.8811201506987458,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_90,contextual_hate,0.7658554110912769,0,17,6,6,0,11,1.0,0.35294117647058826,0.5217391304347826
precision_90,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_90,violence,0.3820260091048375,0,46,41,37,4,9,0.9024390243902439,0.8043478260869565,0.8505747126436782
precision_90,fear,0.5888033902063827,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_90,sexual,0.6227427245736066,0,5,5,5,0,0,1.0,1.0,1.0
precision_90,illegal,0.6894948137695628,1,1,1,1,0,0,1.0,1.0,1.0
precision_90,online_harm,0.721621265260239,1,3,3,3,0,0,1.0,1.0,1.0
