mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.5256872011981805,0,25,29,23,6,2,0.7931034482758621,0.92,0.851851851851852
max_f1,discrimination,0.39,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
max_f1,contextual_hate,0.55,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
max_f1,threat,0.060000000000000005,1,1,6,1,5,0,0.16666666666666666,1.0,0.2857142857142857
max_f1,violence,0.23,0,46,42,38,4,8,0.9047619047619048,0.8260869565217391,0.8636363636363636
max_f1,fear,0.26770935991173234,0,18,17,11,6,7,0.6470588235294118,0.6111111111111112,0.6285714285714287
max_f1,sexual,0.08,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.22,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.04,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.6249681322066681,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
top_k_by_prevalence,discrimination,0.6485857429439607,0,18,18,13,5,5,0.7222222222222222,0.7222222222222222,0.7222222222222222
top_k_by_prevalence,contextual_hate,0.560140833485721,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
top_k_by_prevalence,threat,0.11849877358188825,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.20910178127702847,0,46,46,39,7,7,0.8478260869565217,0.8478260869565217,0.8478260869565218
top_k_by_prevalence,fear,0.2641759250735333,0,18,18,11,7,7,0.6111111111111112,0.6111111111111112,0.6111111111111112
top_k_by_prevalence,sexual,0.7084571749400616,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.5350127047562069,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.7457471977706965,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.6249681322066681,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
production,discrimination,0.8484220442295798,0,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
production,contextual_hate,0.560140833485721,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.21179335432738125,0,46,45,39,6,7,0.8666666666666667,0.8478260869565217,0.8571428571428571
production,fear,0.75,0,18,3,3,0,15,1.0,0.16666666666666666,0.2857142857142857
production,sexual,0.75,0,5,4,4,0,1,1.0,0.8,0.888888888888889
production,illegal,0.95,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,2,2,0,1,1.0,0.6666666666666666,0.8
precision_60,hate_speech,0.34567342821817176,0,25,36,24,12,1,0.6666666666666666,0.96,0.7868852459016393
precision_60,discrimination,0.33068661217913436,0,18,25,17,8,1,0.68,0.9444444444444444,0.7906976744186047
precision_60,contextual_hate,0.2031231857943845,0,17,28,17,11,0,0.6071428571428571,1.0,0.7555555555555554
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.10621589944900683,0,46,68,42,26,4,0.6176470588235294,0.9130434782608695,0.7368421052631579
precision_60,fear,0.26770935991173234,0,18,17,11,6,7,0.6470588235294118,0.6111111111111112,0.6285714285714287
precision_60,sexual,0.7084571749400616,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.5350127047562069,1,1,1,1,0,0,1.0,1.0,1.0
precision_60,online_harm,0.7457471977706965,1,3,3,3,0,0,1.0,1.0,1.0
precision_70,hate_speech,0.5256872011981805,0,25,29,23,6,2,0.7931034482758621,0.92,0.851851851851852
precision_70,discrimination,0.4097127375847423,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
precision_70,contextual_hate,0.4212067573965597,0,17,22,16,6,1,0.7272727272727273,0.9411764705882353,0.8205128205128205
precision_70,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,violence,0.1540253013240673,0,46,53,40,13,6,0.7547169811320755,0.8695652173913043,0.8080808080808081
precision_70,fear,0.3228829334221866,0,18,10,7,3,11,0.7,0.3888888888888889,0.5
precision_70,sexual,0.7084571749400616,0,5,5,5,0,0,1.0,1.0,1.0
precision_70,illegal,0.5350127047562069,1,1,1,1,0,0,1.0,1.0,1.0
precision_70,online_harm,0.7457471977706965,1,3,3,3,0,0,1.0,1.0,1.0
precision_80,hate_speech,0.5602344972202499,0,25,26,21,5,4,0.8076923076923077,0.84,0.8235294117647058
precision_80,discrimination,0.8484220442295798,0,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
precision_80,contextual_hate,0.560140833485721,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
precision_80,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,violence,0.21179335432738125,0,46,45,39,6,7,0.8666666666666667,0.8478260869565217,0.8571428571428571
precision_80,fear,0.44325617340727524,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_80,sexual,0.7084571749400616,0,5,5,5,0,0,1.0,1.0,1.0
precision_80,illegal,0.5350127047562069,1,1,1,1,0,0,1.0,1.0,1.0
precision_80,online_harm,0.7457471977706965,1,3,3,3,0,0,1.0,1.0,1.0
precision_90,hate_speech,0.782164710218261,0,25,18,18,0,7,1.0,0.72,0.8372093023255813
precision_90,discrimination,0.9335738243828092,0,18,7,7,0,11,1.0,0.3888888888888889,0.56
precision_90,contextual_hate,0.9137395102161823,0,17,5,5,0,12,1.0,0.29411764705882354,0.45454545454545453
precision_90,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_90,violence,0.23916189524538345,0,46,42,38,4,8,0.9047619047619048,0.8260869565217391,0.8636363636363636
precision_90,fear,0.44325617340727524,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_90,sexual,0.7084571749400616,0,5,5,5,0,0,1.0,1.0,1.0
precision_90,illegal,0.5350127047562069,1,1,1,1,0,0,1.0,1.0,1.0
precision_90,online_harm,0.7457471977706965,1,3,3,3,0,0,1.0,1.0,1.0
