mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.66,0,25,20,19,1,6,0.95,0.76,0.8444444444444444
max_f1,discrimination,0.53,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
max_f1,contextual_hate,0.51,0,17,21,16,5,1,0.7619047619047619,0.9411764705882353,0.8421052631578947
max_f1,threat,0.16708864160337064,1,1,6,1,5,0,0.16666666666666666,1.0,0.2857142857142857
max_f1,violence,0.4,0,46,35,35,0,11,1.0,0.7608695652173914,0.8641975308641976
max_f1,fear,0.4375135103432131,0,18,14,11,3,7,0.7857142857142857,0.6111111111111112,0.6875000000000001
max_f1,sexual,0.23,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.2,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.18000000000000002,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.5848037023272141,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
top_k_by_prevalence,discrimination,0.6276666255808713,0,18,18,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
top_k_by_prevalence,contextual_hate,0.5950257638915043,0,17,17,13,4,4,0.7647058823529411,0.7647058823529411,0.7647058823529412
top_k_by_prevalence,threat,0.22800493451132875,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.3130843306627081,0,46,46,39,7,7,0.8478260869565217,0.8478260869565217,0.8478260869565218
top_k_by_prevalence,fear,0.4212318199692552,0,18,18,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
top_k_by_prevalence,sexual,0.6532341971382297,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.6127292244762973,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.7258396683386167,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.5848037023272141,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
production,discrimination,0.7391265198405228,0,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
production,contextual_hate,0.6535708891037395,0,17,15,12,3,5,0.8,0.7058823529411765,0.7500000000000001
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.3224670736426839,0,46,45,39,6,7,0.8666666666666667,0.8478260869565217,0.8571428571428571
production,fear,0.75,0,18,3,3,0,15,1.0,0.16666666666666666,0.2857142857142857
production,sexual,0.75,0,5,4,4,0,1,1.0,0.8,0.888888888888889
production,illegal,0.95,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,0,0,0,3,0.0,0.0,0.0
precision_60,hate_speech,0.4302510379092176,0,25,35,24,11,1,0.6857142857142857,0.96,0.7999999999999999
precision_60,discrimination,0.4378711951978077,0,18,28,17,11,1,0.6071428571428571,0.9444444444444444,0.7391304347826088
precision_60,contextual_hate,0.4337412356499083,0,17,27,17,10,0,0.6296296296296297,1.0,0.7727272727272727
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.23465398317545072,0,46,61,41,20,5,0.6721311475409836,0.8913043478260869,0.7663551401869158
precision_60,fear,0.4212318199692552,0,18,18,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
precision_60,sexual,0.6532341971382297,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.6127292244762973,1,1,1,1,0,0,1.0,1.0,1.0
precision_60,online_harm,0.7258396683386167,1,3,3,3,0,0,1.0,1.0,1.0
precision_70,hate_speech,0.5084735527761175,0,25,31,23,8,2,0.7419354838709677,0.92,0.8214285714285714
precision_70,discrimination,0.5325421290522653,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
precision_70,contextual_hate,0.5324556422078747,0,17,21,16,5,1,0.7619047619047619,0.9411764705882353,0.8421052631578947
precision_70,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,violence,0.2530174306663132,0,46,57,40,17,6,0.7017543859649122,0.8695652173913043,0.7766990291262136
precision_70,fear,0.4375135103432131,0,18,14,11,3,7,0.7857142857142857,0.6111111111111112,0.6875000000000001
precision_70,sexual,0.6532341971382297,0,5,5,5,0,0,1.0,1.0,1.0
precision_70,illegal,0.6127292244762973,1,1,1,1,0,0,1.0,1.0,1.0
precision_70,online_harm,0.7258396683386167,1,3,3,3,0,0,1.0,1.0,1.0
precision_80,hate_speech,0.5848037023272141,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
precision_80,discrimination,0.7391265198405228,0,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
precision_80,contextual_hate,0.6535708891037395,0,17,15,12,3,5,0.8,0.7058823529411765,0.7500000000000001
precision_80,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,violence,0.3224670736426839,0,46,45,39,6,7,0.8666666666666667,0.8478260869565217,0.8571428571428571
precision_80,fear,0.4400521957132857,0,18,12,10,2,8,0.8333333333333334,0.5555555555555556,0.6666666666666667
precision_80,sexual,0.6532341971382297,0,5,5,5,0,0,1.0,1.0,1.0
precision_80,illegal,0.6127292244762973,1,1,1,1,0,0,1.0,1.0,1.0
precision_80,online_harm,0.7258396683386167,1,3,3,3,0,0,1.0,1.0,1.0
precision_90,hate_speech,0.6610508760721533,0,25,20,19,1,6,0.95,0.76,0.8444444444444444
precision_90,discrimination,0.8413991096475661,0,18,8,8,0,10,1.0,0.4444444444444444,0.6153846153846153
precision_90,contextual_hate,0.7441479221441154,0,17,10,9,1,8,0.9,0.5294117647058824,0.6666666666666667
precision_90,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_90,violence,0.3399074046100488,0,46,42,38,4,8,0.9047619047619048,0.8260869565217391,0.8636363636363636
precision_90,fear,0.615359836967668,0,18,5,5,0,13,1.0,0.2777777777777778,0.4347826086956522
precision_90,sexual,0.6532341971382297,0,5,5,5,0,0,1.0,1.0,1.0
precision_90,illegal,0.6127292244762973,1,1,1,1,0,0,1.0,1.0,1.0
precision_90,online_harm,0.7258396683386167,1,3,3,3,0,0,1.0,1.0,1.0
