mode,label,threshold,true_positives,false_positives,false_negatives,precision,recall,f1,support,predicted_positive_count,rare_label
f1_optimal,hate_speech,0.5,23,11,2,0.6764705882352942,0.92,0.7796610169491526,25,34,False
f1_optimal,discrimination,0.5151485541713989,17,12,1,0.5862068965517241,0.9444444444444444,0.7234042553191489,18,29,False
f1_optimal,contextual_hate,0.5,17,12,0,0.5862068965517241,1.0,0.7391304347826086,17,29,False
f1_optimal,threat,0.2828415280488588,1,50,0,0.0196078431372549,1.0,0.038461538461538464,1,51,True
f1_optimal,violence,0.44,36,1,10,0.972972972972973,0.782608695652174,0.8674698795180723,46,37,False
f1_optimal,fear,0.4676250446186037,16,14,2,0.5333333333333333,0.8888888888888888,0.6666666666666667,18,30,False
f1_optimal,sexual,0.45,5,0,0,1.0,1.0,1.0,5,5,True
f1_optimal,illegal,0.33999999999999997,1,0,0,1.0,1.0,1.0,1,1,True
f1_optimal,online_harm,0.33,3,0,0,1.0,1.0,1.0,3,3,True
precision_target_70,hate_speech,0.5322053411700849,21,9,4,0.7,0.84,0.7636363636363636,25,30,False
precision_target_70,discrimination,0.6849307429308292,8,2,10,0.8,0.4444444444444444,0.5714285714285714,18,10,False
precision_target_70,contextual_hate,0.57470089233374,12,5,5,0.7058823529411765,0.7058823529411765,0.7058823529411765,17,17,False
precision_target_70,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_70,violence,0.4270761046856767,37,3,9,0.925,0.8043478260869565,0.8604651162790697,46,40,False
precision_target_70,fear,0.496440456301331,8,2,10,0.8,0.4444444444444444,0.5714285714285714,18,10,False
precision_target_70,sexual,0.507662244400514,5,0,0,1.0,1.0,1.0,5,5,True
precision_target_70,illegal,0.460552164750261,1,0,0,1.0,1.0,1.0,1,1,True
precision_target_70,online_harm,0.5932704887505343,3,0,0,1.0,1.0,1.0,3,3,True
precision_target_80,hate_speech,0.5940363434583342,17,4,8,0.8095238095238095,0.68,0.7391304347826089,25,21,False
precision_target_80,discrimination,0.6849307429308292,8,2,10,0.8,0.4444444444444444,0.5714285714285714,18,10,False
precision_target_80,contextual_hate,0.659587079941254,8,2,9,0.8,0.47058823529411764,0.5925925925925927,17,10,False
precision_target_80,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_80,violence,0.4270761046856767,37,3,9,0.925,0.8043478260869565,0.8604651162790697,46,40,False
precision_target_80,fear,0.496440456301331,8,2,10,0.8,0.4444444444444444,0.5714285714285714,18,10,False
precision_target_80,sexual,0.507662244400514,5,0,0,1.0,1.0,1.0,5,5,True
precision_target_80,illegal,0.460552164750261,1,0,0,1.0,1.0,1.0,1,1,True
precision_target_80,online_harm,0.5932704887505343,3,0,0,1.0,1.0,1.0,3,3,True
precision_target_90,hate_speech,0.6775027643178312,15,0,10,1.0,0.6,0.7499999999999999,25,15,False
precision_target_90,discrimination,0.7434243756789495,4,0,14,1.0,0.2222222222222222,0.3636363636363636,18,4,False
precision_target_90,contextual_hate,0.7208153476623462,5,0,12,1.0,0.29411764705882354,0.45454545454545453,17,5,False
precision_target_90,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_90,violence,0.4270761046856767,37,3,9,0.925,0.8043478260869565,0.8604651162790697,46,40,False
precision_target_90,fear,0.5102257584154719,6,0,12,1.0,0.3333333333333333,0.5,18,6,False
precision_target_90,sexual,0.507662244400514,5,0,0,1.0,1.0,1.0,5,5,True
precision_target_90,illegal,0.460552164750261,1,0,0,1.0,1.0,1.0,1,1,True
precision_target_90,online_harm,0.5932704887505343,3,0,0,1.0,1.0,1.0,3,3,True
top_k_by_prevalence,hate_speech,0.5632474398126732,18,7,7,0.72,0.72,0.72,25,25,False
top_k_by_prevalence,discrimination,0.5865710308438742,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,18,18,False
top_k_by_prevalence,contextual_hate,0.57470089233374,12,5,5,0.7058823529411765,0.7058823529411765,0.7058823529411765,17,17,False
top_k_by_prevalence,threat,0.3508408574400571,0,1,1,0.0,0.0,0.0,1,1,True
top_k_by_prevalence,violence,0.4135252693969287,37,9,9,0.8043478260869565,0.8043478260869565,0.8043478260869565,46,46,False
top_k_by_prevalence,fear,0.4857634684697411,10,8,8,0.5555555555555556,0.5555555555555556,0.5555555555555556,18,18,False
top_k_by_prevalence,sexual,0.507662244400514,5,0,0,1.0,1.0,1.0,5,5,True
top_k_by_prevalence,illegal,0.460552164750261,1,0,0,1.0,1.0,1.0,1,1,True
top_k_by_prevalence,online_harm,0.5932704887505343,3,0,0,1.0,1.0,1.0,3,3,True
production,hate_speech,0.5940363434583342,17,4,8,0.8095238095238095,0.68,0.7391304347826089,25,21,False
production,discrimination,0.6849307429308292,8,2,10,0.8,0.4444444444444444,0.5714285714285714,18,10,False
production,contextual_hate,0.659587079941254,8,2,9,0.8,0.47058823529411764,0.5925925925925927,17,10,False
production,threat,0.9,0,0,1,0.0,0.0,0.0,1,0,True
production,violence,0.4270761046856767,37,3,9,0.925,0.8043478260869565,0.8604651162790697,46,40,False
production,fear,0.496440456301331,8,2,10,0.8,0.4444444444444444,0.5714285714285714,18,10,False
production,sexual,0.85,0,0,5,0.0,0.0,0.0,5,0,True
production,illegal,0.95,0,0,1,0.0,0.0,0.0,1,0,True
production,online_harm,0.9,0,0,3,0.0,0.0,0.0,3,0,True
