source_video_id,old_label,suggested_label,issue_type,prob_hate,model_confidence,teacher_binary_prob,teacher_confidence,transcript_source,frame_dir,reason,split,teacher_agreement,auto_relabel
R_non_hate_video_061,0,1,suspected_false_negative_label,0.9599834680557252,0.9599834680557252,0.0743137225508689,0.9313120245933532,human,E:\m-hvc\datasets\old-dataset\frames_unique\R_non_hate_video_061,review: model_prob>=0.900; teacher_not_strongly_agreeing,train,disagree_or_weak,False
BV1dw411f76v,1,0,suspected_false_positive_label,0.0410191304981708,0.9589808695018291,0.8397327065467834,0.6369815450795788,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1dw411f76v,review: model_prob<=0.100; teacher_not_strongly_agreeing,train,disagree_or_weak,False
BV1TX4y1c7KX,0,1,suspected_false_negative_label,0.9449047446250916,0.9449047446250916,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\BV1TX4y1c7KX,review: no_usable_teacher; not_extreme_model_probability; model_prob>=0.320,train,unavailable,False
BV1Qx411V7tT,0,1,suspected_false_negative_label,0.9432739615440368,0.9432739615440368,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Qx411V7tT,review: no_usable_teacher; not_extreme_model_probability; model_prob>=0.320,train,unavailable,False
hate_video_289,1,0,suspected_false_positive_label,0.0628733858466148,0.9371266141533852,0.893822968006134,0.614205725443967,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_289,review: model_prob<=0.100; teacher_not_strongly_agreeing,train,disagree_or_weak,False
BV1Rs411u7EH,0,1,suspected_false_negative_label,0.9325990080833436,0.9325990080833436,0.0024641670752316,0.5976781067204282,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Rs411u7EH,review: model_prob>=0.900; teacher_not_strongly_agreeing,train,disagree_or_weak,False
BV1RY411A7ZQ,1,0,suspected_false_positive_label,0.0710285753011703,0.9289714246988297,0.9253499507904052,0.3403763812405528,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1RY411A7ZQ,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
BV1kT411t7ax,1,0,suspected_false_positive_label,0.0735966265201568,0.9264033734798431,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\BV1kT411t7ax,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
R_hate_video_082,1,0,suspected_false_positive_label,0.0735996961593627,0.9264003038406373,0.0005119852721691,0.4403474862071225,asr,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_082,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
non_hate_video_227,0,1,suspected_false_negative_label,0.9262629747390748,0.9262629747390748,0.166418969631195,0.7629084420600935,asr,E:\m-hvc\datasets\old-dataset\frames_unique\non_hate_video_227,review: model_prob>=0.900; teacher_not_strongly_agreeing,train,disagree_or_weak,False
hate_video_291,1,0,suspected_false_positive_label,0.076048620045185,0.923951379954815,0.9998596906661988,0.8138475224844481,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_291,review: model_prob<=0.100; teacher_not_strongly_agreeing,train,disagree_or_weak,False
non_hate_video_624,0,1,suspected_false_negative_label,0.9205321669578552,0.9205321669578552,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\non_hate_video_624,review: no_usable_teacher; not_extreme_model_probability; model_prob>=0.320,train,unavailable,False
video_88,0,1,suspected_false_negative_label,0.9159317016601562,0.9159317016601562,0.0003428976633585,0.9996825456619264,human,E:\m-hvc\datasets\old-dataset\frames_unique\video_88,review: model_prob>=0.900; teacher_not_strongly_agreeing,train,disagree_or_weak,False
hate_video_90,1,0,suspected_false_positive_label,0.0881245508790016,0.9118754491209984,0.9998571872711182,0.84231644649647,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_90,review: model_prob<=0.100; teacher_not_strongly_agreeing,train,disagree_or_weak,False
BV1kT411m7Lm,1,0,suspected_false_positive_label,0.0889811292290687,0.9110188707709312,0.3553945124149322,0.6066171571567089,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1kT411m7Lm,review: model_prob<=0.100; teacher_not_strongly_agreeing,train,disagree_or_weak,False
hate_video_265,1,0,suspected_false_positive_label,0.0946028158068656,0.9053971841931344,0.9999206066131592,0.6891956153880047,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_265,review: model_prob<=0.100; teacher_not_strongly_agreeing,train,disagree_or_weak,False
hate_video_310,1,0,suspected_false_positive_label,0.0972106382250785,0.9027893617749215,0.999904990196228,0.7545603156591842,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_310,review: model_prob<=0.100; teacher_not_strongly_agreeing,train,disagree_or_weak,False
hate_video_150,1,0,suspected_false_positive_label,0.098779410123825,0.901220589876175,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_150,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
BV1Dm4y1J7Pj,1,0,suspected_false_positive_label,0.0996321365237236,0.9003678634762764,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Dm4y1J7Pj,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
BV1hL4y1j7pp,1,0,suspected_false_positive_label,0.1010187789797782,0.8989812210202218,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\BV1hL4y1j7pp,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
non_hate_video_454,0,1,suspected_false_negative_label,0.894847571849823,0.894847571849823,0.9999376535415648,0.593988048747783,asr,E:\m-hvc\datasets\old-dataset\frames_unique\non_hate_video_454,review: model_disagrees_with_label_but_not_auto_threshold,train,strong_agree,False
video_41,1,0,suspected_false_positive_label,0.1053357049822807,0.8946642950177193,0.0002948516921605,0.2530489978705294,asr,E:\m-hvc\datasets\old-dataset\frames_unique\video_41,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
video_39,1,0,suspected_false_positive_label,0.1061112731695175,0.8938887268304825,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\video_39,review: no_usable_teacher; not_extreme_model_probability; model_prob<0.320,train,unavailable,False
non_hate_video_90,0,1,suspected_false_negative_label,0.8933929800987244,0.8933929800987244,0.9999222755432128,0.905145453003348,asr,E:\m-hvc\datasets\old-dataset\frames_unique\non_hate_video_90,review: model_disagrees_with_label_but_not_auto_threshold,train,strong_agree,False
