mode,label,threshold,true_positives,false_positives,false_negatives,precision,recall,f1,support,predicted_positive_count,rare_label
f1_optimal,hate_speech,0.55,16,40,9,0.2857142857142857,0.64,0.3950617283950617,25,56,False
f1_optimal,discrimination,0.7248626351356506,7,7,11,0.5,0.3888888888888889,0.43750000000000006,18,14,False
f1_optimal,contextual_hate,0.3744027316570282,16,74,1,0.17777777777777778,0.9411764705882353,0.2990654205607477,17,90,False
f1_optimal,threat,0.4104332029819488,1,113,0,0.008771929824561403,1.0,0.017391304347826087,1,114,True
f1_optimal,violence,0.4377404749393463,38,61,8,0.3838383838383838,0.8260869565217391,0.5241379310344828,46,99,False
f1_optimal,fear,0.5156756043434143,8,23,10,0.25806451612903225,0.4444444444444444,0.32653061224489793,18,31,False
f1_optimal,sexual,0.5563284754753113,2,14,3,0.125,0.4,0.19047619047619047,5,16,True
f1_optimal,illegal,0.5643178224563599,1,31,0,0.03125,1.0,0.06060606060606061,1,32,True
f1_optimal,online_harm,0.5615089535713196,2,36,1,0.05263157894736842,0.6666666666666666,0.09756097560975609,3,38,True
precision_target_70,hate_speech,0.7137128114700317,3,1,22,0.75,0.12,0.20689655172413793,25,4,False
precision_target_70,discrimination,0.99,0,0,18,0.0,0.0,0.0,18,0,False
precision_target_70,contextual_hate,0.99,0,0,17,0.0,0.0,0.0,17,0,False
precision_target_70,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_70,violence,0.99,0,0,46,0.0,0.0,0.0,46,0,False
precision_target_70,fear,0.99,0,0,18,0.0,0.0,0.0,18,0,False
precision_target_70,sexual,0.99,0,0,5,0.0,0.0,0.0,5,0,True
precision_target_70,illegal,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_70,online_harm,0.99,0,0,3,0.0,0.0,0.0,3,0,True
precision_target_80,hate_speech,0.7198395729064941,2,0,23,1.0,0.08,0.14814814814814814,25,2,False
precision_target_80,discrimination,0.99,0,0,18,0.0,0.0,0.0,18,0,False
precision_target_80,contextual_hate,0.99,0,0,17,0.0,0.0,0.0,17,0,False
precision_target_80,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_80,violence,0.99,0,0,46,0.0,0.0,0.0,46,0,False
precision_target_80,fear,0.99,0,0,18,0.0,0.0,0.0,18,0,False
precision_target_80,sexual,0.99,0,0,5,0.0,0.0,0.0,5,0,True
precision_target_80,illegal,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_80,online_harm,0.99,0,0,3,0.0,0.0,0.0,3,0,True
precision_target_90,hate_speech,0.7198395729064941,2,0,23,1.0,0.08,0.14814814814814814,25,2,False
precision_target_90,discrimination,0.99,0,0,18,0.0,0.0,0.0,18,0,False
precision_target_90,contextual_hate,0.99,0,0,17,0.0,0.0,0.0,17,0,False
precision_target_90,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_90,violence,0.99,0,0,46,0.0,0.0,0.0,46,0,False
precision_target_90,fear,0.99,0,0,18,0.0,0.0,0.0,18,0,False
precision_target_90,sexual,0.99,0,0,5,0.0,0.0,0.0,5,0,True
precision_target_90,illegal,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_90,online_harm,0.99,0,0,3,0.0,0.0,0.0,3,0,True
top_k_by_prevalence,hate_speech,0.6956019997596741,7,18,18,0.28,0.28,0.28,25,25,False
top_k_by_prevalence,discrimination,0.7192637920379639,7,11,11,0.3888888888888889,0.3888888888888889,0.3888888888888889,18,18,False
top_k_by_prevalence,contextual_hate,0.6489620208740234,2,15,15,0.11764705882352941,0.11764705882352941,0.11764705882352941,17,17,False
top_k_by_prevalence,threat,0.4678379595279693,0,1,1,0.0,0.0,0.0,1,1,True
top_k_by_prevalence,violence,0.475918173789978,16,30,30,0.34782608695652173,0.34782608695652173,0.34782608695652173,46,46,False
top_k_by_prevalence,fear,0.5191096663475037,4,14,14,0.2222222222222222,0.2222222222222222,0.2222222222222222,18,18,False
top_k_by_prevalence,sexual,0.5654644966125488,0,5,5,0.0,0.0,0.0,5,5,True
top_k_by_prevalence,illegal,0.5793053507804871,0,1,1,0.0,0.0,0.0,1,1,True
top_k_by_prevalence,online_harm,0.5832275748252869,0,3,3,0.0,0.0,0.0,3,3,True
production,hate_speech,0.7198395729064941,2,0,23,1.0,0.08,0.14814814814814814,25,2,False
production,discrimination,0.99,0,0,18,0.0,0.0,0.0,18,0,False
production,contextual_hate,0.99,0,0,17,0.0,0.0,0.0,17,0,False
production,threat,0.9,0,0,1,0.0,0.0,0.0,1,0,True
production,violence,0.99,0,0,46,0.0,0.0,0.0,46,0,False
production,fear,0.99,0,0,18,0.0,0.0,0.0,18,0,False
production,sexual,0.85,0,0,5,0.0,0.0,0.0,5,0,True
production,illegal,0.95,0,0,1,0.0,0.0,0.0,1,0,True
production,online_harm,0.9,0,0,3,0.0,0.0,0.0,3,0,True
