mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.52,0,25,29,23,6,2,0.7931034482758621,0.92,0.851851851851852
max_f1,discrimination,0.42000000000000004,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
max_f1,contextual_hate,0.5800000000000001,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
max_f1,threat,0.038477727867860585,1,1,4,1,3,0,0.25,1.0,0.4
max_f1,violence,0.23,0,46,42,38,4,8,0.9047619047619048,0.8260869565217391,0.8636363636363636
max_f1,fear,0.27,0,18,17,11,6,7,0.6470588235294118,0.6111111111111112,0.6285714285714287
max_f1,sexual,0.08,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.13,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.04,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.6129197400444372,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
top_k_by_prevalence,discrimination,0.6585965994758035,0,18,18,13,5,5,0.7222222222222222,0.7222222222222222,0.7222222222222222
top_k_by_prevalence,contextual_hate,0.5820702312320248,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
top_k_by_prevalence,threat,0.07379752556923175,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.20847351798509453,0,46,46,39,7,7,0.8478260869565217,0.8478260869565217,0.8478260869565218
top_k_by_prevalence,fear,0.2644959074614765,0,18,18,11,7,7,0.6111111111111112,0.6111111111111112,0.6111111111111112
top_k_by_prevalence,sexual,0.7125477079542879,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.7036219371942569,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.748626886775455,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.6129197400444372,0,25,25,20,5,5,0.8,0.8,0.8000000000000002
production,discrimination,0.8527774122487747,0,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
production,contextual_hate,0.5820702312320248,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.21070654813771075,0,46,45,39,6,7,0.8666666666666667,0.8478260869565217,0.8571428571428571
production,fear,0.75,0,18,3,3,0,15,1.0,0.16666666666666666,0.2857142857142857
production,sexual,0.75,0,5,4,4,0,1,1.0,0.8,0.888888888888889
production,illegal,0.95,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,2,2,0,1,1.0,0.6666666666666666,0.8
precision_60,hate_speech,0.3632947383831359,0,25,34,24,10,1,0.7058823529411765,0.96,0.8135593220338982
precision_60,discrimination,0.3462160305226322,0,18,26,17,9,1,0.6538461538461539,0.9444444444444444,0.7727272727272727
precision_60,contextual_hate,0.435586605653433,0,17,22,16,6,1,0.7272727272727273,0.9411764705882353,0.8205128205128205
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.10601949509033644,0,46,69,42,27,4,0.6086956521739131,0.9130434782608695,0.7304347826086955
precision_60,fear,0.27301096092394017,0,18,17,11,6,7,0.6470588235294118,0.6111111111111112,0.6285714285714287
precision_60,sexual,0.7125477079542879,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.7036219371942569,1,1,1,1,0,0,1.0,1.0,1.0
precision_60,online_harm,0.748626886775455,1,3,3,3,0,0,1.0,1.0,1.0
precision_70,hate_speech,0.3632947383831359,0,25,34,24,10,1,0.7058823529411765,0.96,0.8135593220338982
precision_70,discrimination,0.4208890000408963,0,18,22,16,6,2,0.7272727272727273,0.8888888888888888,0.7999999999999999
precision_70,contextual_hate,0.435586605653433,0,17,22,16,6,1,0.7272727272727273,0.9411764705882353,0.8205128205128205
precision_70,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,violence,0.1536629248688035,0,46,53,40,13,6,0.7547169811320755,0.8695652173913043,0.8080808080808081
precision_70,fear,0.3244384008713556,0,18,10,7,3,11,0.7,0.3888888888888889,0.5
precision_70,sexual,0.7125477079542879,0,5,5,5,0,0,1.0,1.0,1.0
precision_70,illegal,0.7036219371942569,1,1,1,1,0,0,1.0,1.0,1.0
precision_70,online_harm,0.748626886775455,1,3,3,3,0,0,1.0,1.0,1.0
precision_80,hate_speech,0.5659118474678376,0,25,26,21,5,4,0.8076923076923077,0.84,0.8235294117647058
precision_80,discrimination,0.8527774122487747,0,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
precision_80,contextual_hate,0.5820702312320248,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
precision_80,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,violence,0.21070654813771075,0,46,45,39,6,7,0.8666666666666667,0.8478260869565217,0.8571428571428571
precision_80,fear,0.44078064204023565,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_80,sexual,0.7125477079542879,0,5,5,5,0,0,1.0,1.0,1.0
precision_80,illegal,0.7036219371942569,1,1,1,1,0,0,1.0,1.0,1.0
precision_80,online_harm,0.748626886775455,1,3,3,3,0,0,1.0,1.0,1.0
precision_90,hate_speech,0.6948212598955594,0,25,21,19,2,6,0.9047619047619048,0.76,0.8260869565217391
precision_90,discrimination,0.9523486604280645,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_90,contextual_hate,0.8909533024141377,0,17,6,6,0,11,1.0,0.35294117647058826,0.5217391304347826
precision_90,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
