mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.5800000000000001,0,25,27,25,2,0,0.9259259259259259,1.0,0.9615384615384615
max_f1,discrimination,0.72,0,18,19,18,1,0,0.9473684210526315,1.0,0.972972972972973
max_f1,contextual_hate,0.62,0,17,18,17,1,0,0.9444444444444444,1.0,0.9714285714285714
max_f1,threat,0.31,1,1,6,1,5,0,0.16666666666666666,1.0,0.2857142857142857
max_f1,violence,0.4961674511432647,0,46,43,43,0,3,1.0,0.9347826086956522,0.9662921348314606
max_f1,fear,0.34,0,18,21,16,5,2,0.7619047619047619,0.8888888888888888,0.8205128205128205
max_f1,sexual,0.32,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.54,1,1,2,1,1,0,0.5,1.0,0.6666666666666666
max_f1,online_harm,0.39,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.7643578052520752,0,25,25,24,1,1,0.96,0.96,0.96
top_k_by_prevalence,discrimination,0.7842405438423157,0,18,18,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444
top_k_by_prevalence,contextual_hate,0.8324306607246399,0,17,17,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353
top_k_by_prevalence,threat,0.5861663222312927,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.3850289285182953,0,46,46,44,2,2,0.9565217391304348,0.9565217391304348,0.9565217391304348
top_k_by_prevalence,fear,0.3862939476966858,0,18,18,14,4,4,0.7777777777777778,0.7777777777777778,0.7777777777777778
top_k_by_prevalence,sexual,0.935830533504486,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.642874538898468,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,online_harm,0.8231949210166931,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.7643578052520752,0,25,25,24,1,1,0.96,0.96,0.96
production,discrimination,0.7842405438423157,0,18,18,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444
production,contextual_hate,0.8324306607246399,0,17,17,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.3850289285182953,0,46,46,44,2,2,0.9565217391304348,0.9565217391304348,0.9565217391304348
production,fear,0.75,0,18,8,7,1,11,0.875,0.3888888888888889,0.5384615384615385
production,sexual,0.935830533504486,0,5,5,5,0,0,1.0,1.0,1.0
production,illegal,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,0,0,0,3,0.0,0.0,0.0
precision_60,hate_speech,0.6514280438423157,0,25,27,25,2,0,0.9259259259259259,1.0,0.9615384615384615
precision_60,discrimination,0.7711852192878723,0,18,19,18,1,0,0.9473684210526315,1.0,0.972972972972973
precision_60,contextual_hate,0.7793511748313904,0,17,18,17,1,0,0.9444444444444444,1.0,0.9714285714285714
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.2469600290060043,0,46,51,45,6,1,0.8823529411764706,0.9782608695652174,0.9278350515463919
precision_60,fear,0.3503637611865997,0,18,21,16,5,2,0.7619047619047619,0.8888888888888888,0.8205128205128205
precision_60,sexual,0.935830533504486,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,online_harm,0.8231949210166931,1,3,3,3,0,0,1.0,1.0,1.0
precision_70,hate_speech,0.6514280438423157,0,25,27,25,2,0,0.9259259259259259,1.0,0.9615384615384615
precision_70,discrimination,0.7711852192878723,0,18,19,18,1,0,0.9473684210526315,1.0,0.972972972972973
precision_70,contextual_hate,0.7793511748313904,0,17,18,17,1,0,0.9444444444444444,1.0,0.9714285714285714
precision_70,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,violence,0.2469600290060043,0,46,51,45,6,1,0.8823529411764706,0.9782608695652174,0.9278350515463919
precision_70,fear,0.3503637611865997,0,18,21,16,5,2,0.7619047619047619,0.8888888888888888,0.8205128205128205
precision_70,sexual,0.935830533504486,0,5,5,5,0,0,1.0,1.0,1.0
precision_70,illegal,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,online_harm,0.8231949210166931,1,3,3,3,0,0,1.0,1.0,1.0
precision_80,hate_speech,0.6514280438423157,0,25,27,25,2,0,0.9259259259259259,1.0,0.9615384615384615
precision_80,discrimination,0.7711852192878723,0,18,19,18,1,0,0.9473684210526315,1.0,0.972972972972973
precision_80,contextual_hate,0.7793511748313904,0,17,18,17,1,0,0.9444444444444444,1.0,0.9714285714285714
precision_80,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,violence,0.2469600290060043,0,46,51,45,6,1,0.8823529411764706,0.9782608695652174,0.9278350515463919
precision_80,fear,0.5578469038009644,0,18,15,13,2,5,0.8666666666666667,0.7222222222222222,0.7878787878787877
precision_80,sexual,0.935830533504486,0,5,5,5,0,0,1.0,1.0,1.0
precision_80,illegal,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,online_harm,0.8231949210166931,1,3,3,3,0,0,1.0,1.0,1.0
precision_90,hate_speech,0.6514280438423157,0,25,27,25,2,0,0.9259259259259259,1.0,0.9615384615384615
precision_90,discrimination,0.7711852192878723,0,18,19,18,1,0,0.9473684210526315,1.0,0.972972972972973
precision_90,contextual_hate,0.7793511748313904,0,17,18,17,1,0,0.9444444444444444,1.0,0.9714285714285714
precision_90,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_90,violence,0.3850289285182953,0,46,46,44,2,2,0.9565217391304348,0.9565217391304348,0.9565217391304348
precision_90,fear,0.6635876893997192,0,18,13,12,1,6,0.9230769230769231,0.6666666666666666,0.7741935483870968
precision_90,sexual,0.935830533504486,0,5,5,5,0,0,1.0,1.0,1.0
precision_90,illegal,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_90,online_harm,0.8231949210166931,1,3,3,3,0,0,1.0,1.0,1.0
