mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.64,0,25,24,24,0,1,1.0,0.96,0.9795918367346939
max_f1,discrimination,0.68,0,18,17,17,0,1,1.0,0.9444444444444444,0.9714285714285714
max_f1,contextual_hate,0.5,0,17,16,16,0,1,1.0,0.9411764705882353,0.9696969696969697
max_f1,threat,0.2771447598934173,1,1,17,1,16,0,0.058823529411764705,1.0,0.1111111111111111
max_f1,violence,0.5800000000000001,0,46,46,43,3,3,0.9347826086956522,0.9347826086956522,0.9347826086956522
max_f1,fear,0.53,0,18,24,18,6,0,0.75,1.0,0.8571428571428571
max_f1,sexual,0.34,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.35000000000000003,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.4,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.6307926177978516,0,25,25,24,1,1,0.96,0.96,0.96
top_k_by_prevalence,discrimination,0.6764433979988098,0,18,18,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444
top_k_by_prevalence,contextual_hate,0.4975359737873077,0,17,17,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353
top_k_by_prevalence,threat,0.5008295178413391,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.5856112837791443,0,46,46,43,3,3,0.9347826086956522,0.9347826086956522,0.9347826086956522
top_k_by_prevalence,fear,0.6570340991020203,0,18,18,13,5,5,0.7222222222222222,0.7222222222222222,0.7222222222222222
top_k_by_prevalence,sexual,0.9194736480712892,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.4829092025756836,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.8464868068695068,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.6307926177978516,0,25,25,24,1,1,0.96,0.96,0.96
production,discrimination,0.6764433979988098,0,18,18,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444
production,contextual_hate,0.4975359737873077,0,17,17,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.5856112837791443,0,46,46,43,3,3,0.9347826086956522,0.9347826086956522,0.9347826086956522
production,fear,0.75,0,18,12,12,0,6,1.0,0.6666666666666666,0.8
production,sexual,0.9194736480712892,0,5,5,5,0,0,1.0,1.0,1.0
production,illegal,0.95,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,0,0,0,3,0.0,0.0,0.0
precision_60,hate_speech,0.3294440507888794,0,25,30,25,5,0,0.8333333333333334,1.0,0.9090909090909091
precision_60,discrimination,0.5812844038009644,0,18,21,18,3,0,0.8571428571428571,1.0,0.923076923076923
precision_60,contextual_hate,0.4521215856075287,0,17,19,17,2,0,0.8947368421052632,1.0,0.9444444444444444
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.2346606850624084,0,46,72,46,26,0,0.6388888888888888,1.0,0.7796610169491525
precision_60,fear,0.5456786751747131,0,18,24,18,6,0,0.75,1.0,0.8571428571428571
precision_60,sexual,0.9194736480712892,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.4829092025756836,1,1,1,1,0,0,1.0,1.0,1.0
precision_60,online_harm,0.8464868068695068,1,3,3,3,0,0,1.0,1.0,1.0
precision_70,hate_speech,0.3294440507888794,0,25,30,25,5,0,0.8333333333333334,1.0,0.9090909090909091
precision_70,discrimination,0.5812844038009644,0,18,21,18,3,0,0.8571428571428571,1.0,0.923076923076923
precision_70,contextual_hate,0.4521215856075287,0,17,19,17,2,0,0.8947368421052632,1.0,0.9444444444444444
precision_70,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,violence,0.5089328289031982,0,46,51,45,6,1,0.8823529411764706,0.9782608695652174,0.9278350515463919
precision_70,fear,0.5456786751747131,0,18,24,18,6,0,0.75,1.0,0.8571428571428571
precision_70,sexual,0.9194736480712892,0,5,5,5,0,0,1.0,1.0,1.0
precision_70,illegal,0.4829092025756836,1,1,1,1,0,0,1.0,1.0,1.0
precision_70,online_harm,0.8464868068695068,1,3,3,3,0,0,1.0,1.0,1.0
precision_80,hate_speech,0.3294440507888794,0,25,30,25,5,0,0.8333333333333334,1.0,0.9090909090909091
precision_80,discrimination,0.5812844038009644,0,18,21,18,3,0,0.8571428571428571,1.0,0.923076923076923
precision_80,contextual_hate,0.4521215856075287,0,17,19,17,2,0,0.8947368421052632,1.0,0.9444444444444444
precision_80,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,violence,0.5089328289031982,0,46,51,45,6,1,0.8823529411764706,0.9782608695652174,0.9278350515463919
precision_80,fear,0.7495654225349426,0,18,13,13,0,5,1.0,0.7222222222222222,0.8387096774193548
precision_80,sexual,0.9194736480712892,0,5,5,5,0,0,1.0,1.0,1.0
