source_video_id,old_label,suggested_label,issue_type,prob_hate,model_confidence,teacher_binary_prob,teacher_confidence,transcript_source,frame_dir,reason,split,teacher_agreement,auto_relabel
BV1SH4y1D7kF,1,0,suspected_false_positive_label,0.008581792935729,0.991418207064271,0.0045201033353805,0.6833821102609119,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1SH4y1D7kF,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
video_144,1,0,suspected_false_positive_label,0.0086778681725263,0.9913221318274738,0.0017931909533217,0.9983702898025512,human,E:\m-hvc\datasets\old-dataset\frames_unique\video_144,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
hate_video_270,1,0,suspected_false_positive_label,0.0091744754463434,0.9908255245536566,0.0015365040162578,0.4406103303013782,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_270,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
BV1Qb4y197h5,1,0,suspected_false_positive_label,0.0093815000727772,0.9906184999272228,0.0004775205743499,0.499596475446703,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Qb4y197h5,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
BV1vz4y1r7ot,1,0,suspected_false_positive_label,0.0097652478143572,0.9902347521856428,0.0011881220852956,0.6595591266549239,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1vz4y1r7ot,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV16p4y1f7fi,1,0,suspected_false_positive_label,0.009871831163764,0.990128168836236,0.0032497053034603,0.8152090036936201,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV16p4y1f7fi,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
hate_video_302,1,0,suspected_false_positive_label,0.0100857289507985,0.9899142710492015,0.000452675827546,0.3282228458217976,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_302,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
R_hate_video_201,1,0,suspected_false_positive_label,0.0108153922483325,0.9891846077516675,0.0009207801776938,0.9991517066955566,human,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_201,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
R_hate_video_154,1,0,suspected_false_positive_label,0.0111206332221627,0.9888793667778373,0.0007866690284572,0.4487044471442015,asr,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_154,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
R_hate_video_130,1,0,suspected_false_positive_label,0.0121013894677162,0.9878986105322838,0.0006863581947982,0.9993555545806884,human,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_130,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV13z4y1x7CP,1,0,suspected_false_positive_label,0.0128125920891761,0.9871874079108239,0.0004809920210391,0.6704117865296307,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV13z4y1x7CP,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV11K4y1R733,1,0,suspected_false_positive_label,0.0128959277644753,0.9871040722355247,0.0004754519613925,0.5988083472928522,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV11K4y1R733,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV1Tp4y1k7HG,1,0,suspected_false_positive_label,0.0130561282858252,0.9869438717141747,0.0218099690973758,0.86396188749243,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Tp4y1k7HG,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV12B4y1x7eK,1,0,suspected_false_positive_label,0.0137119516730308,0.9862880483269691,0.0024826049339026,0.8244746269852914,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV12B4y1x7eK,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV15h4y157Km,1,0,suspected_false_positive_label,0.0151108587160706,0.9848891412839293,0.1301286518573761,0.7532245255674529,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV15h4y157Km,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
hate_video_107,1,0,suspected_false_positive_label,0.0153990536928176,0.9846009463071824,0.0342970453202724,0.8342496037439766,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_107,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
non_hate_video_351,0,1,suspected_false_negative_label,0.98195880651474,0.98195880651474,0.9999219179153442,0.7735370279675174,asr,E:\m-hvc\datasets\old-dataset\frames_unique\non_hate_video_351,auto: model_prob>=0.900; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
R_hate_video_219,1,0,suspected_false_positive_label,0.019131377339363,0.980868622660637,0.0425814464688301,0.9565002918243408,human,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_219,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV1Xa4y1u7Bq,1,0,suspected_false_positive_label,0.0195919498801231,0.9804080501198769,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Xa4y1u7Bq,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
video_84,0,1,suspected_false_negative_label,0.980207860469818,0.980207860469818,,,missing,E:\m-hvc\datasets\old-dataset\frames_unique\video_84,auto: no_usable_teacher; model_prob>=0.950,train,unavailable,True
non_hate_video_329,0,1,suspected_false_negative_label,0.9792723059654236,0.9792723059654236,0.9999438524246216,0.8190824055810207,asr,E:\m-hvc\datasets\old-dataset\frames_unique\non_hate_video_329,auto: model_prob>=0.900; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
