mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.5398644265523018,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
max_f1,discrimination,0.5971816436828866,0,18,17,13,4,5,0.7647058823529411,0.7222222222222222,0.7428571428571428
max_f1,contextual_hate,0.5492167956478992,0,17,18,15,3,2,0.8333333333333334,0.8823529411764706,0.8571428571428571
max_f1,threat,0.15724584901239583,1,1,28,1,27,0,0.03571428571428571,1.0,0.0689655172413793
max_f1,violence,0.36000000000000004,0,46,37,36,1,10,0.972972972972973,0.782608695652174,0.8674698795180723
max_f1,fear,0.449692858052643,0,18,15,10,5,8,0.6666666666666666,0.5555555555555556,0.606060606060606
max_f1,sexual,0.24000000000000002,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.2,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.21000000000000002,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.5398644265523018,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
top_k_by_prevalence,discrimination,0.5929890974352575,0,18,18,13,5,5,0.7222222222222222,0.7222222222222222,0.7222222222222222
top_k_by_prevalence,contextual_hate,0.5668610237585229,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
top_k_by_prevalence,threat,0.23571836937106908,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.3356867419521861,0,46,46,38,8,8,0.8260869565217391,0.8260869565217391,0.8260869565217391
top_k_by_prevalence,fear,0.4448225292584545,0,18,18,10,8,8,0.5555555555555556,0.5555555555555556,0.5555555555555556
top_k_by_prevalence,sexual,0.6107616002426761,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.4969022807985262,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.6785174715275385,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.5398644265523018,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
production,discrimination,0.685681636282746,0,18,12,10,2,8,0.8333333333333334,0.5555555555555556,0.6666666666666667
production,contextual_hate,0.5668610237585229,0,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.33862749306952483,0,46,45,38,7,8,0.8444444444444444,0.8260869565217391,0.8351648351648352
production,fear,0.75,0,18,2,2,0,16,1.0,0.1111111111111111,0.19999999999999998
production,sexual,0.75,0,5,2,2,0,3,1.0,0.4,0.5714285714285715
production,illegal,0.95,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,0,0,0,3,0.0,0.0,0.0
precision_60,hate_speech,0.43061215258999724,0,25,38,24,14,1,0.631578947368421,0.96,0.7619047619047619
precision_60,discrimination,0.5224408448954705,0,18,25,15,10,3,0.6,0.8333333333333334,0.6976744186046512
precision_60,contextual_hate,0.5492167956478992,0,17,18,15,3,2,0.8333333333333334,0.8823529411764706,0.8571428571428571
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.2849506586777785,0,46,62,41,21,5,0.6612903225806451,0.8913043478260869,0.7592592592592593
precision_60,fear,0.449692858052643,0,18,15,10,5,8,0.6666666666666666,0.5555555555555556,0.606060606060606
precision_60,sexual,0.6107616002426761,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.4969022807985262,1,1,1,1,0,0,1.0,1.0,1.0
