mode,label,threshold,rare_label,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
max_f1,hate_speech,0.6050362032303271,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
max_f1,discrimination,0.54,0,18,23,16,7,2,0.6956521739130435,0.8888888888888888,0.7804878048780488
max_f1,contextual_hate,0.47000000000000003,0,17,25,17,8,0,0.68,1.0,0.8095238095238095
max_f1,threat,0.27,1,1,3,1,2,0,0.3333333333333333,1.0,0.5
max_f1,violence,0.36000000000000004,0,46,43,38,5,8,0.8837209302325582,0.8260869565217391,0.853932584269663
max_f1,fear,0.4669105148448288,0,18,22,15,7,3,0.6818181818181818,0.8333333333333334,0.7499999999999999
max_f1,sexual,0.32,0,5,5,5,0,0,1.0,1.0,1.0
max_f1,illegal,0.32,1,1,1,1,0,0,1.0,1.0,1.0
max_f1,online_harm,0.24000000000000002,1,3,3,3,0,0,1.0,1.0,1.0
top_k_by_prevalence,hate_speech,0.6050362032303271,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
top_k_by_prevalence,discrimination,0.6264983426990097,0,18,18,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
top_k_by_prevalence,contextual_hate,0.6131260021105845,0,17,17,12,5,5,0.7058823529411765,0.7058823529411765,0.7058823529411765
top_k_by_prevalence,threat,0.37349570313744906,1,1,1,0,1,1,0.0,0.0,0.0
top_k_by_prevalence,violence,0.3492734422673871,0,46,46,38,8,8,0.8260869565217391,0.8260869565217391,0.8260869565217391
top_k_by_prevalence,fear,0.4819808349474016,0,18,18,11,7,7,0.6111111111111112,0.6111111111111112,0.6111111111111112
top_k_by_prevalence,sexual,0.6239669348302894,0,5,5,5,0,0,1.0,1.0,1.0
top_k_by_prevalence,illegal,0.6892585700528898,1,1,1,1,0,0,1.0,1.0,1.0
top_k_by_prevalence,online_harm,0.7230794172089459,1,3,3,3,0,0,1.0,1.0,1.0
production,hate_speech,0.6050362032303271,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
production,discrimination,0.8219896378533762,0,18,10,8,2,10,0.8,0.4444444444444444,0.5714285714285714
production,contextual_hate,0.7013287976903353,0,17,13,11,2,6,0.8461538461538461,0.6470588235294118,0.7333333333333334
production,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
production,violence,0.3492734422673871,0,46,46,38,8,8,0.8260869565217391,0.8260869565217391,0.8260869565217391
production,fear,0.75,0,18,2,2,0,16,1.0,0.1111111111111111,0.19999999999999998
production,sexual,0.75,0,5,3,3,0,2,1.0,0.6,0.7499999999999999
production,illegal,0.95,1,1,0,0,0,1,0.0,0.0,0.0
production,online_harm,0.9,1,3,0,0,0,3,0.0,0.0,0.0
precision_60,hate_speech,0.4799330973249711,0,25,34,24,10,1,0.7058823529411765,0.96,0.8135593220338982
precision_60,discrimination,0.5478866037114585,0,18,23,16,7,2,0.6956521739130435,0.8888888888888888,0.7804878048780488
precision_60,contextual_hate,0.4890193925953788,0,17,25,17,8,0,0.68,1.0,0.8095238095238095
precision_60,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_60,violence,0.26457435065271656,0,46,67,42,25,4,0.6268656716417911,0.9130434782608695,0.7433628318584071
precision_60,fear,0.4669105148448288,0,18,22,15,7,3,0.6818181818181818,0.8333333333333334,0.7499999999999999
precision_60,sexual,0.6239669348302894,0,5,5,5,0,0,1.0,1.0,1.0
precision_60,illegal,0.6892585700528898,1,1,1,1,0,0,1.0,1.0,1.0
precision_60,online_harm,0.7230794172089459,1,3,3,3,0,0,1.0,1.0,1.0
precision_70,hate_speech,0.4799330973249711,0,25,34,24,10,1,0.7058823529411765,0.96,0.8135593220338982
precision_70,discrimination,0.57004208512816,0,18,21,15,6,3,0.7142857142857143,0.8333333333333334,0.7692307692307692
precision_70,contextual_hate,0.5593060608575183,0,17,19,14,5,3,0.7368421052631579,0.8235294117647058,0.7777777777777778
precision_70,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_70,violence,0.34595951911552186,0,46,48,39,9,7,0.8125,0.8478260869565217,0.8297872340425533
precision_70,fear,0.5267090772254127,0,18,11,8,3,10,0.7272727272727273,0.4444444444444444,0.5517241379310345
precision_70,sexual,0.6239669348302894,0,5,5,5,0,0,1.0,1.0,1.0
precision_70,illegal,0.6892585700528898,1,1,1,1,0,0,1.0,1.0,1.0
precision_70,online_harm,0.7230794172089459,1,3,3,3,0,0,1.0,1.0,1.0
precision_80,hate_speech,0.6050362032303271,0,25,25,21,4,4,0.84,0.84,0.8399999999999999
precision_80,discrimination,0.8219896378533762,0,18,10,8,2,10,0.8,0.4444444444444444,0.5714285714285714
precision_80,contextual_hate,0.7013287976903353,0,17,13,11,2,6,0.8461538461538461,0.6470588235294118,0.7333333333333334
precision_80,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_80,violence,0.34595951911552186,0,46,48,39,9,7,0.8125,0.8478260869565217,0.8297872340425533
precision_80,fear,0.5886317536733903,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_80,sexual,0.6239669348302894,0,5,5,5,0,0,1.0,1.0,1.0
precision_80,illegal,0.6892585700528898,1,1,1,1,0,0,1.0,1.0,1.0
precision_80,online_harm,0.7230794172089459,1,3,3,3,0,0,1.0,1.0,1.0
precision_90,hate_speech,0.6690677736960904,0,25,18,17,1,8,0.9444444444444444,0.68,0.7906976744186047
precision_90,discrimination,0.8833256791989758,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_90,contextual_hate,0.7655203101737033,0,17,6,6,0,11,1.0,0.35294117647058826,0.5217391304347826
precision_90,threat,0.99,1,1,0,0,0,1,0.0,0.0,0.0
precision_90,violence,0.3834585962373365,0,46,41,37,4,9,0.9024390243902439,0.8043478260869565,0.8505747126436782
precision_90,fear,0.5886317536733903,0,18,6,6,0,12,1.0,0.3333333333333333,0.5
precision_90,sexual,0.6239669348302894,0,5,5,5,0,0,1.0,1.0,1.0
precision_90,illegal,0.6892585700528898,1,1,1,1,0,0,1.0,1.0,1.0
precision_90,online_harm,0.7230794172089459,1,3,3,3,0,0,1.0,1.0,1.0
