mode,label,threshold,true_positives,false_positives,false_negatives,precision,recall,f1,support,predicted_positive_count,rare_label
f1_optimal,hate_speech,0.6000000000000001,20,3,5,0.8695652173913043,0.8,0.8333333333333333,25,23,False
f1_optimal,discrimination,0.5900000000000001,14,8,4,0.6363636363636364,0.7777777777777778,0.7000000000000001,18,22,False
f1_optimal,contextual_hate,0.5338331398738374,16,8,1,0.6666666666666666,0.9411764705882353,0.7804878048780487,17,24,False
f1_optimal,threat,0.13,1,36,0,0.02702702702702703,1.0,0.052631578947368425,1,37,True
f1_optimal,violence,0.4162902653826188,36,0,10,1.0,0.782608695652174,0.878048780487805,46,36,False
f1_optimal,fear,0.5,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,18,9,False
f1_optimal,sexual,0.25,5,0,0,1.0,1.0,1.0,5,5,True
f1_optimal,illegal,0.21000000000000002,1,0,0,1.0,1.0,1.0,1,1,True
f1_optimal,online_harm,0.2,3,0,0,1.0,1.0,1.0,3,3,True
precision_target_70,hate_speech,0.540974752932375,22,8,3,0.7333333333333333,0.88,0.8,25,30,False
precision_target_70,discrimination,0.655002012863552,12,5,6,0.7058823529411765,0.6666666666666666,0.6857142857142857,18,17,False
precision_target_70,contextual_hate,0.5677687759284469,14,6,3,0.7,0.8235294117647058,0.7567567567567567,17,20,False
precision_target_70,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_70,violence,0.33780201226885637,40,13,6,0.7547169811320755,0.8695652173913043,0.8080808080808081,46,53,False
precision_target_70,fear,0.5102785970513204,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,18,9,False
precision_target_70,sexual,0.5014824893996446,5,0,0,1.0,1.0,1.0,5,5,True
precision_target_70,illegal,0.33658156479593715,1,0,0,1.0,1.0,1.0,1,1,True
precision_target_70,online_harm,0.47999982202243985,3,0,0,1.0,1.0,1.0,3,3,True
precision_target_80,hate_speech,0.5672156262289748,21,5,4,0.8076923076923077,0.84,0.8235294117647058,25,26,False
precision_target_80,discrimination,0.767658509872492,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,18,9,False
precision_target_80,contextual_hate,0.6452198324456206,12,3,5,0.8,0.7058823529411765,0.7500000000000001,17,15,False
precision_target_80,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_80,violence,0.3747323970542906,39,5,7,0.8863636363636364,0.8478260869565217,0.8666666666666666,46,44,False
precision_target_80,fear,0.5102785970513204,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,18,9,False
precision_target_80,sexual,0.5014824893996446,5,0,0,1.0,1.0,1.0,5,5,True
precision_target_80,illegal,0.33658156479593715,1,0,0,1.0,1.0,1.0,1,1,True
precision_target_80,online_harm,0.47999982202243985,3,0,0,1.0,1.0,1.0,3,3,True
precision_target_90,hate_speech,0.6576442104250358,18,2,7,0.9,0.72,0.7999999999999999,25,20,False
precision_target_90,discrimination,0.8427939823477211,3,0,15,1.0,0.16666666666666666,0.2857142857142857,18,3,False
precision_target_90,contextual_hate,0.7872930832329493,6,0,11,1.0,0.35294117647058826,0.5217391304347826,17,6,False
precision_target_90,threat,0.99,0,0,1,0.0,0.0,0.0,1,0,True
precision_target_90,violence,0.38429567826092875,37,3,9,0.925,0.8043478260869565,0.8604651162790697,46,40,False
precision_target_90,fear,0.5250646051418283,7,0,11,1.0,0.3888888888888889,0.56,18,7,False
precision_target_90,sexual,0.5014824893996446,5,0,0,1.0,1.0,1.0,5,5,True
precision_target_90,illegal,0.33658156479593715,1,0,0,1.0,1.0,1.0,1,1,True
precision_target_90,online_harm,0.47999982202243985,3,0,0,1.0,1.0,1.0,3,3,True
top_k_by_prevalence,hate_speech,0.58056137112902,20,5,5,0.8,0.8,0.8000000000000002,25,25,False
top_k_by_prevalence,discrimination,0.6402110003733863,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,18,18,False
top_k_by_prevalence,contextual_hate,0.6301442091873611,12,5,5,0.7058823529411765,0.7058823529411765,0.7058823529411765,17,17,False
top_k_by_prevalence,threat,0.2292140485959664,0,1,1,0.0,0.0,0.0,1,1,True
top_k_by_prevalence,violence,0.36565353768584086,39,7,7,0.8478260869565217,0.8478260869565217,0.8478260869565218,46,46,False
top_k_by_prevalence,fear,0.4449964338133747,9,9,9,0.5,0.5,0.5,18,18,False
top_k_by_prevalence,sexual,0.5014824893996446,5,0,0,1.0,1.0,1.0,5,5,True
top_k_by_prevalence,illegal,0.33658156479593715,1,0,0,1.0,1.0,1.0,1,1,True
top_k_by_prevalence,online_harm,0.47999982202243985,3,0,0,1.0,1.0,1.0,3,3,True
production,hate_speech,0.58056137112902,20,5,5,0.8,0.8,0.8000000000000002,25,25,False
production,discrimination,0.767658509872492,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,18,9,False
production,contextual_hate,0.6452198324456206,12,3,5,0.8,0.7058823529411765,0.7500000000000001,17,15,False
production,threat,0.9,0,0,1,0.0,0.0,0.0,1,0,True
production,violence,0.3747323970542906,39,5,7,0.8863636363636364,0.8478260869565217,0.8666666666666666,46,44,False
production,fear,0.5102785970513204,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,18,9,False
production,sexual,0.85,2,0,3,1.0,0.4,0.5714285714285715,5,2,True
production,illegal,0.95,0,0,1,0.0,0.0,0.0,1,0,True
production,online_harm,0.9,0,0,3,0.0,0.0,0.0,3,0,True
