source_video_id,old_label,suggested_label,issue_type,prob_hate,model_confidence,teacher_binary_prob,teacher_confidence,transcript_source,frame_dir,reason,split,teacher_agreement,auto_relabel
BV1Ts4y1A7XN,1,0,suspected_false_positive_label,0.0081456704065203,0.9918543295934797,0.0028381932061165,0.122054732218696,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Ts4y1A7XN,auto: no_usable_teacher; model_prob<=0.050,test,unavailable,True
BV1jk4y1Q7JZ,1,0,suspected_false_positive_label,0.0082849543541669,0.9917150456458331,0.0021486394107341,0.4242141594367639,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1jk4y1Q7JZ,auto: no_usable_teacher; model_prob<=0.050,val,unavailable,True
BV1SH4y1D7kF,1,0,suspected_false_positive_label,0.008581792935729,0.991418207064271,0.0045201033353805,0.6833821102609119,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1SH4y1D7kF,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
video_144,1,0,suspected_false_positive_label,0.0086778681725263,0.9913221318274738,0.0017931909533217,0.9983702898025512,human,E:\m-hvc\datasets\old-dataset\frames_unique\video_144,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV11S4y1X7Qc,1,0,suspected_false_positive_label,0.0088812885805964,0.9911187114194036,0.0017146350583061,0.1472546694477358,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV11S4y1X7Qc,auto: no_usable_teacher; model_prob<=0.050,test,unavailable,True
BV1aV4y1b7tA,1,0,suspected_false_positive_label,0.0091169141232967,0.9908830858767033,0.0005910601466894,0.1704499434255757,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1aV4y1b7tA,auto: no_usable_teacher; model_prob<=0.050,test,unavailable,True
hate_video_270,1,0,suspected_false_positive_label,0.0091744754463434,0.9908255245536566,0.0015365040162578,0.4406103303013782,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_270,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
BV1Sh4y1L74E,1,0,suspected_false_positive_label,0.0093047143891453,0.9906952856108547,0.0073028365150094,0.3562213465609715,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Sh4y1L74E,auto: no_usable_teacher; model_prob<=0.050,test,unavailable,True
BV1Qb4y197h5,1,0,suspected_false_positive_label,0.0093815000727772,0.9906184999272228,0.0004775205743499,0.499596475446703,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1Qb4y197h5,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
video_169,1,0,suspected_false_positive_label,0.0096315871924161,0.9903684128075839,0.0025374924298375,0.4339066319891971,asr,E:\m-hvc\datasets\old-dataset\frames_unique\video_169,auto: no_usable_teacher; model_prob<=0.050,val,unavailable,True
BV1vz4y1r7ot,1,0,suspected_false_positive_label,0.0097652478143572,0.9902347521856428,0.0011881220852956,0.6595591266549239,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1vz4y1r7ot,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
BV16p4y1f7fi,1,0,suspected_false_positive_label,0.009871831163764,0.990128168836236,0.0032497053034603,0.8152090036936201,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV16p4y1f7fi,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
hate_video_302,1,0,suspected_false_positive_label,0.0100857289507985,0.9899142710492015,0.000452675827546,0.3282228458217976,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_302,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
BV1ho4y1h7P8,1,0,suspected_false_positive_label,0.0100966515019536,0.9899033484980464,0.0003253443283028,0.2677826949051801,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1ho4y1h7P8,auto: no_usable_teacher; model_prob<=0.050,test,unavailable,True
BV1AK4y1B7Lv,1,0,suspected_false_positive_label,0.0100969662889838,0.9899030337110162,0.0005265054060146,0.5642578410410793,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1AK4y1B7Lv,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,val,strong_agree,True
BV1YQ4y1b7rr,1,0,suspected_false_positive_label,0.0101320762187242,0.9898679237812757,0.029951000586152,0.8614340259258628,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1YQ4y1b7rr,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,val,strong_agree,True
BV1GD4y127wf,1,0,suspected_false_positive_label,0.0105302380397915,0.9894697619602085,0.0089926030486822,0.2707602867179179,asr,E:\m-hvc\datasets\old-dataset\frames_unique\BV1GD4y127wf,auto: no_usable_teacher; model_prob<=0.050,test,unavailable,True
video_273,1,0,suspected_false_positive_label,0.010543443262577,0.989456556737423,0.0004821690381504,0.9995551109313964,human,E:\m-hvc\datasets\old-dataset\frames_unique\video_273,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,test,strong_agree,True
R_hate_video_201,1,0,suspected_false_positive_label,0.0108153922483325,0.9891846077516675,0.0009207801776938,0.9991517066955566,human,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_201,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,train,strong_agree,True
R_hate_video_154,1,0,suspected_false_positive_label,0.0111206332221627,0.9888793667778373,0.0007866690284572,0.4487044471442015,asr,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_154,auto: no_usable_teacher; model_prob<=0.050,train,unavailable,True
hate_video_317,1,0,suspected_false_positive_label,0.0113471709191799,0.9886528290808201,0.0084640188142657,0.8759287537654761,asr,E:\m-hvc\datasets\old-dataset\frames_unique\hate_video_317,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,test,strong_agree,True
R_hate_video_222,1,0,suspected_false_positive_label,0.0119907027110457,0.9880092972889543,0.0006281272508203,0.9994239807128906,human,E:\m-hvc\datasets\old-dataset\frames_unique\R_hate_video_222,auto: model_prob<=0.100; teacher_agrees; teacher_confidence>=0.550,val,strong_agree,True
